"station_id","pollutant_id","aggregation_id","year","value","unit_id","value_remark"
"blBAS","so2","95pvaluehalfhour",2006,13.60,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2007,11.10,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2008,11.90,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2009,8.60,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2010,9.70,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2011,8.60,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2012,6.30,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2013,5.10,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2014,4.80,"µg/m3",
"blBAS","so2","maxdailymean",1984,132.00,"µg/m3","incomplete series"
"blBAS","so2","maxdailymean",1985,245.00,"µg/m3","incomplete series"
"blBAS","so2","maxdailymean",1986,237.00,"µg/m3","incomplete series"
"blBAS","so2","maxdailymean",1987,61.00,"µg/m3","incomplete series"
"blBAS","so2","maxdailymean",1988,66.00,"µg/m3",
"blBAS","so2","maxdailymean",1989,81.00,"µg/m3",
"blBAS","so2","maxdailymean",1990,63.00,"µg/m3",
"blBAS","so2","maxdailymean",1991,65.00,"µg/m3",
"blBAS","so2","maxdailymean",1992,54.00,"µg/m3",
"blBAS","so2","maxdailymean",1993,67.00,"µg/m3",
"blBAS","so2","maxdailymean",1994,38.00,"µg/m3",
"blBAS","so2","maxdailymean",1995,43.00,"µg/m3",
"blBAS","so2","maxdailymean",1996,36.00,"µg/m3",
"blBAS","so2","maxdailymean",1997,70.00,"µg/m3",
"blBAS","so2","maxdailymean",1998,32.00,"µg/m3",
"blBAS","so2","maxdailymean",1999,27.00,"µg/m3",
"blBAS","so2","maxdailymean",2000,25.00,"µg/m3",
"blBAS","so2","maxdailymean",2001,24.00,"µg/m3",
"blBAS","so2","maxdailymean",2002,38.00,"µg/m3",
"blBAS","so2","maxdailymean",2003,26.00,"µg/m3",
"blBAS","so2","maxdailymean",2004,21.00,"µg/m3",
"blBAS","so2","maxdailymean",2005,19.00,"µg/m3",
"blBAS","so2","maxdailymean",2006,21.00,"µg/m3",
"blBAS","so2","maxdailymean",2007,17.00,"µg/m3",
"blBAS","so2","maxdailymean",2008,16.00,"µg/m3",
"blBAS","so2","maxdailymean",2009,15.00,"µg/m3",
"blBAS","so2","maxdailymean",2010,12.00,"µg/m3",
"blBAS","so2","maxdailymean",2011,11.00,"µg/m3",
"blBAS","so2","maxdailymean",2012,12.00,"µg/m3",
"blBAS","so2","maxdailymean",2013,7.00,"µg/m3",
"blBAS","so2","maxdailymean",2014,8.00,"µg/m3",
"neCHA","so2","95pvaluehalfhour",1991,8.50,"µg/m3","incomplete series"
"neCHA","so2","95pvaluehalfhour",1992,10.00,"µg/m3",
"neCHA","so2","95pvaluehalfhour",1993,8.90,"µg/m3",
"neCHA","so2","95pvaluehalfhour",1994,7.30,"µg/m3",
"neCHA","so2","95pvaluehalfhour",1995,6.10,"µg/m3",
"neCHA","so2","95pvaluehalfhour",1996,7.60,"µg/m3",
"neCHA","so2","95pvaluehalfhour",1997,4.20,"µg/m3",
"neCHA","so2","95pvaluehalfhour",1998,4.60,"µg/m3",
"neCHA","so2","95pvaluehalfhour",1999,4.20,"µg/m3",
"neCHA","so2","95pvaluehalfhour",2000,3.00,"µg/m3",
"neCHA","so2","95pvaluehalfhour",2001,3.00,"µg/m3",
"neCHA","so2","95pvaluehalfhour",2002,2.90,"µg/m3",
"neCHA","so2","95pvaluehalfhour",2003,4.20,"µg/m3",
"neCHA","so2","95pvaluehalfhour",2004,3.00,"µg/m3",
"neCHA","so2","95pvaluehalfhour",2005,4.20,"µg/m3",
"neCHA","so2","95pvaluehalfhour",2006,2.80,"µg/m3",
"neCHA","so2","95pvaluehalfhour",2007,2.70,"µg/m3",
"neCHA","so2","95pvaluehalfhour",2008,2.10,"µg/m3",
"neCHA","so2","95pvaluehalfhour",2009,1.60,"µg/m3",
"neCHA","so2","maxdailymean",1991,17.00,"µg/m3","incomplete series"
"neCHA","so2","maxdailymean",1992,18.00,"µg/m3",
"neCHA","so2","maxdailymean",1993,36.00,"µg/m3",
"neCHA","so2","maxdailymean",1994,24.00,"µg/m3",
"neCHA","so2","maxdailymean",1995,28.00,"µg/m3",
"neCHA","so2","maxdailymean",1996,17.00,"µg/m3",
"neCHA","so2","maxdailymean",1997,7.00,"µg/m3",
"neCHA","so2","maxdailymean",1998,8.00,"µg/m3",
"neCHA","so2","maxdailymean",1999,12.00,"µg/m3",
"neCHA","so2","maxdailymean",2000,5.00,"µg/m3",
"neCHA","so2","maxdailymean",2001,8.00,"µg/m3",
"neCHA","so2","maxdailymean",2002,4.00,"µg/m3",
"neCHA","so2","maxdailymean",2003,7.00,"µg/m3",
"neCHA","so2","maxdailymean",2004,5.00,"µg/m3",
"neCHA","so2","maxdailymean",2005,6.00,"µg/m3",
"neCHA","so2","maxdailymean",2006,5.00,"µg/m3",
"neCHA","so2","maxdailymean",2007,4.00,"µg/m3",
"neCHA","so2","maxdailymean",2008,4.00,"µg/m3",
"neCHA","so2","maxdailymean",2009,2.00,"µg/m3",
"soHAE","so2","95pvaluehalfhour",1991,30.50,"µg/m3","incomplete series"
"soHAE","so2","95pvaluehalfhour",1992,31.00,"µg/m3",
"soHAE","so2","95pvaluehalfhour",1993,27.10,"µg/m3",
"soHAE","so2","95pvaluehalfhour",1994,21.90,"µg/m3",
"soHAE","so2","95pvaluehalfhour",1995,21.10,"µg/m3",
"soHAE","so2","95pvaluehalfhour",1996,17.20,"µg/m3",
"soHAE","so2","95pvaluehalfhour",1997,17.10,"µg/m3",
"soHAE","so2","95pvaluehalfhour",1998,17.70,"µg/m3",
"soHAE","so2","95pvaluehalfhour",1999,17.30,"µg/m3",
"soHAE","so2","95pvaluehalfhour",2000,14.90,"µg/m3","incomplete series"
"soHAE","so2","95pvaluehalfhour",2003,12.70,"µg/m3",
"soHAE","so2","95pvaluehalfhour",2004,16.50,"µg/m3",
"soHAE","so2","95pvaluehalfhour",2005,18.30,"µg/m3",
"soHAE","so2","95pvaluehalfhour",2006,11.10,"µg/m3",
"soHAE","so2","95pvaluehalfhour",2007,8.30,"µg/m3",
"soHAE","so2","95pvaluehalfhour",2008,7.20,"µg/m3",
"soHAE","so2","95pvaluehalfhour",2009,3.30,"µg/m3",
"soHAE","so2","95pvaluehalfhour",2010,3.30,"µg/m3",
"soHAE","so2","95pvaluehalfhour",2011,2.90,"µg/m3",
"soHAE","so2","95pvaluehalfhour",2012,3.90,"µg/m3",
"soHAE","so2","95pvaluehalfhour",2013,2.10,"µg/m3",
"soHAE","so2","95pvaluehalfhour",2014,1.90,"µg/m3",
"soHAE","so2","maxdailymean",1991,40.00,"µg/m3","incomplete series"
"soHAE","so2","maxdailymean",1992,32.00,"µg/m3",
"soHAE","so2","maxdailymean",1993,49.00,"µg/m3",
"soHAE","so2","maxdailymean",1994,30.00,"µg/m3",
"soHAE","so2","maxdailymean",1995,32.00,"µg/m3",
"soHAE","so2","maxdailymean",1996,21.00,"µg/m3",
"soHAE","so2","maxdailymean",1997,34.00,"µg/m3",
"soHAE","so2","maxdailymean",1998,21.00,"µg/m3",
"soHAE","so2","maxdailymean",1999,45.00,"µg/m3",
"soHAE","so2","maxdailymean",2000,22.00,"µg/m3","incomplete series"
"soHAE","so2","maxdailymean",2003,23.00,"µg/m3",
"soHAE","so2","maxdailymean",2004,42.00,"µg/m3",
"soHAE","so2","maxdailymean",2005,60.00,"µg/m3",
"soHAE","so2","maxdailymean",2006,37.00,"µg/m3",
"soHAE","so2","maxdailymean",2007,12.00,"µg/m3",
"soHAE","so2","maxdailymean",2008,10.00,"µg/m3",
"soHAE","so2","maxdailymean",2009,6.00,"µg/m3",
"soHAE","so2","maxdailymean",2010,7.00,"µg/m3",
"soHAE","so2","maxdailymean",2011,4.00,"µg/m3",
"soHAE","so2","maxdailymean",2012,10.00,"µg/m3",
"soHAE","so2","maxdailymean",2013,3.00,"µg/m3",
"soHAE","so2","maxdailymean",2014,17.00,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1985,3.40,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1986,2.30,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1987,3.40,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1988,2.20,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1989,2.30,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1990,1.70,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1991,1.70,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1992,1.50,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1993,1.40,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1994,1.50,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1995,0.70,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1996,0.90,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1997,0.40,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1998,0.50,"µg/m3",
"beJUN","so2","95pvaluehalfhour",1999,0.70,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2001,0.60,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2002,0.50,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2003,0.40,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2004,0.30,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2005,0.50,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2006,0.40,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2007,0.30,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2008,0.20,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2009,0.20,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2010,0.20,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2011,0.20,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2012,0.20,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2013,0.20,"µg/m3",
"beJUN","so2","95pvaluehalfhour",2014,0.10,"µg/m3",
"beJUN","so2","maxdailymean",1985,51.00,"µg/m3",
"beJUN","so2","maxdailymean",1986,20.00,"µg/m3",
"beJUN","so2","maxdailymean",1987,18.00,"µg/m3",
"beJUN","so2","maxdailymean",1988,20.00,"µg/m3",
