"station_id","station_name","station_measuring_network","station_kanton","station_y","station_x","station_altitude","station_type_de","station_type_of_area_de"
"tgWEE","Weerswilen-Weerstein","TG","TG",727740.00,271190.00,630.00,"Hintergrund","Ländlich"
"tgWFB","Weinfelden-Berufsbildungszentrum","TG","TG",725380.00,269615.00,430.00,"Hintergrund","Vorstädtisch"
"tiBIO","Bioggio","TI","TI",714170.00,96525.00,285.00,"Industrie","Vorstädtisch"
"tiBOD","Bodio","TI","TI",713360.00,137370.00,330.00,"Industrie","Vorstädtisch"
"tiBRI","Brione-sopra-Minusio","TI","TI",706015.00,115655.00,480.00,"Hintergrund","Vorstädtisch"
"tiCAM","Camignolo","TI","TI",715430.00,106905.00,435.00,"Verkehr","Ländlich"
"tiCHI","Chiasso","TI","TI",723490.00,77455.00,240.00,"Verkehr","Städtisch"
"tiCOM","Comano","TI","TI",717176.00,99018.00,446.00,"Verkehr","Vorstädtisch"
"tiGIU","Giubiasco","TI","TI",720255.00,114535.00,222.00,"Industrie","Vorstädtisch"
"tiLCS","Lugano-Casa-Serena","TI","TI",717800.00,96850.00,290.00,"Hintergrund","Städtisch"
"tiLOC","Locarno","TI","TI",704450.00,113730.00,209.00,"Verkehr","Städtisch"
"tiLUG","Lugano-Università","NABEL","TI",717615.00,96645.00,280.00,"Hintergrund","Städtisch"
"tiMAG","Magadino-Cadenazzo","NABEL","TI",715500.00,113200.00,203.00,"Hintergrund","Ländlich"
"tiMDO","Mendrisio","TI","TI",719650.00,80200.00,350.00,"Hintergrund","Vorstädtisch"
"tiMEN","Mendrisio-A2","TI","TI",719472.00,81336.00,315.00,"Verkehr","Vorstädtisch"
"tiMOL","Moleno-A2","TI","TI",719940.00,126560.00,255.00,"Verkehr","Ländlich"
"tiPRE","Lugano-Pregassona","TI","TI",718385.00,98300.00,305.00,"Hintergrund","Vorstädtisch"
"tiSAG","Sagno","IAP","TI",723550.00,80100.00,600.00,"Hintergrund","Ländlich"
"tiSCI","Sciss","IAP","TI",716950.00,103900.00,850.00,"Hintergrund","Ländlich"
"urALT","Altdorf","UR","UR",690175.00,193550.00,438.00,"Verkehr","Ländlich"
"urERS","Erstfeld-A2","UR","UR",691390.00,188470.00,460.00,"Verkehr","Ländlich"
"urFLU","Flüelen","UR","UR",690200.00,194470.00,436.00,"Verkehr","Ländlich"
"vdAIG","Aigle","VD","VD",561330.00,129900.00,386.00,"Industrie","Ländlich"
"vdBUS","Bussigny","VD","VD",532800.00,155660.00,429.00,"Verkehr","Städtisch"
"vdEPA","Epalinges","VD","VD",540500.00,154850.00,710.00,"Hintergrund","Vorstädtisch"
"vdLAU","Lausanne-César-Roux","NABEL","VD",538695.00,152615.00,530.00,"Verkehr","Städtisch"
"vdLCR","Lausanne-César-Roux-2","VD","VD",538540.00,152935.00,520.00,"Verkehr","Städtisch"
"vdLLT","Lausanne-la-Tuilière","VD","VD",537240.00,155680.00,610.00,"Hintergrund","Ländlich"
"vdLMA","Lausanne-Malley","VD","VD",535610.00,153040.00,425.00,"Industrie","Vorstädtisch"
"vdLUP","Lausanne-Pierre-de-Plan","VD","VD",539040.00,153300.00,620.00,"Verkehr","Vorstädtisch"
"vdMON","Montreux","VD","VD",559500.00,142490.00,395.00,"Hintergrund","Städtisch"
"vdMOR","Morges","VD","VD",527930.00,151552.00,376.00,"Hintergrund","Städtisch"
"vdNYN","Nyon","VD","VD",507787.00,137780.00,402.00,"Hintergrund","Vorstädtisch"
"vdNYO","Nyon-Hôpital","VD","VD",506900.00,137640.00,412.00,"Hintergrund","Vorstädtisch"
"vdPAY","Payerne","NABEL","VD",562285.00,184775.00,489.00,"Hintergrund","Ländlich"
"vdRUM","Lausanne-Rumine-Montbenon","VD","VD",537780.00,152450.00,497.00,"Verkehr","Vorstädtisch"
"vdVIL","Villy","VD","VD",565220.00,124830.00,404.00,"Hintergrund","Ländlich"
"vdYVE","Yverdon-les-Bains","VD","VD",538615.00,181105.00,432.00,"Hintergrund","Vorstädtisch"
"vsAGE","Les-Agettes","VS","VS",594656.00,117545.00,1060.00,"Hintergrund","Ländlich"
"vsBRG","Brigerbad","VS","VS",636790.00,127555.00,650.00,"Industrie","Ländlich"
"vsEGG","Eggerberg","VS","VS",634047.00,128450.00,840.00,"Hintergrund","Ländlich"
"vsEVI","Evionnaz","VS","VS",567944.00,114901.00,490.00,"Hintergrund","Ländlich"
"vsGIE","Les-Giettes","VS","VS",563267.00,119297.00,1140.00,"Hintergrund","Ländlich"
"vsMAS","Massongex","VS","VS",564941.00,121275.00,400.00,"Industrie","Ländlich"
"vsSAX","Saxon","VS","VS",577566.00,109764.00,460.00,"Hintergrund","Ländlich"
"vsSIO","Sion-Aéroport-A9","NABEL","VS",592540.00,118755.00,483.00,"Verkehr","Ländlich"
"vsSVE","Sion","VS","VS",593702.00,120409.00,527.00,"Verkehr","Städtisch"
"vsTUR","Turtmann","VS","VS",620536.00,128214.00,620.00,"Hintergrund","Ländlich"
"zgINW","Inwil-Baar","ZG","ZG",682600.00,226900.00,435.00,"Hintergrund","Vorstädtisch"
"zgZGB","Zugerberg","IAP","ZG",683000.00,220500.00,990.00,"Hintergrund","Ländlich"
"zgZUG","Zug","ZG","ZG",681625.00,224641.00,420.00,"Verkehr","Städtisch"
"zhBAC","Hinwil-Bachtel","ZH","ZH",709500.00,239250.00,1145.00,"Hintergrund","Ländlich"
"zhBID","Birmensdorf","ZH","ZH",676750.00,246200.00,540.00,"Verkehr","Vorstädtisch"
"zhDUE","Dübendorf-EMPA","NABEL","ZH",688675.00,250900.00,432.00,"Hintergrund","Vorstädtisch"
"zhHED","Hedingen","ZH","ZH",676455.00,238760.00,500.00,"Verkehr","Ländlich"
"zhKFA","Zürich-Flughafen-Airside","ZH","ZH",684900.00,256525.00,465.00,"Industrie","Vorstädtisch"
"zhKFL","Zürich-Flughafen-Landside","ZH","ZH",684900.00,256525.00,465.00,"Industrie","Vorstädtisch"
"zhKFT","Zürich-Flughafen-TerminalA","ZH","ZH",684300.00,256500.00,465.00,"Industrie","Vorstädtisch"
"zhOPF","Opfikon-Balsberg","ZH","ZH",685350.00,254830.00,430.00,"Verkehr","Vorstädtisch"
"zhOTC","Opfikon-Tennis-Club","ZH","ZH",685575.00,253840.00,430.00,"Hintergrund","Vorstädtisch"
"zhRGS","Zürich-Rosengartenstrasse","ZH","ZH",682095.00,249940.00,433.00,"Verkehr","Städtisch"
"zhWAL","Wallisellen-Dietlikonerstrasse","ZH","ZH",688070.00,252880.00,470.00,"Hintergrund","Vorstädtisch"
"zhWEF","Wettswil-Filderen","ZH","ZH",677329.00,243853.00,528.00,"Hintergrund","Ländlich"
"zhWEW","Wettswil-Weierächer","ZH","ZH",678078.00,243686.00,550.00,"Hintergrund","Ländlich"
"zhWLD","Wald-Höhenklinik","ZH","ZH",713770.00,237370.00,910.00,"Hintergrund","Ländlich"
"zhWOT","Winterthur-Obertor","ZH","ZH",697435.00,261855.00,448.00,"Hintergrund","Städtisch"
"zhZBW","Zürich-Schimmelstrasse","ZH","ZH",681941.00,247245.00,415.00,"Verkehr","Städtisch"
"zhZHB","Zürich-Heubeeribüel","ZH","ZH",685125.00,248460.00,610.00,"Hintergrund","Vorstädtisch"
"zhZSS","Zürich-Stampfenbachstrasse","ZH","ZH",683145.00,249020.00,445.00,"Verkehr","Städtisch"
"zhZSW","Zürich-Schwamendingen-A1","ZH","ZH",685100.00,251305.00,430.00,"Verkehr","Städtisch"
"zhZUE","Zürich-Kaserne","NABEL","ZH",682450.00,247990.00,409.00,"Hintergrund","Städtisch"
